LastName,FirstName,Sex,DateOfBirth,AddressLine1,AddressLine2,City,State,Zip,Phone,IsAdmin,Username,Password
Smith,Jane,F,12/31/1969,123 Main St.,,Atlanta,GA,30317,404-555-1234,1,jane,test1234
Barbero,David,M,1/1/2024,University of West Georgia,1601 Maple St.,Carrollton,GA,30118,678-839-5000,1,david,david
Blood,Anna,F,1/1/2024,University of West Georgia,1601 Maple St.,Carrollton,GA,30118,678-839-5000,1,anna,anna
Maxwell,Justin,M,1/1/2024,University of West Georgia,1601 Maple St.,Carrollton,GA,30118,678-839-5000,1,justin,justin
Babbage,Bella,F,9/23/1973,2465 Vanderbilt Ave,,St. Louis,MO,63116,314-555-1234,,babbage,babbage
Curie,Casey,,7/14/1985,574 Purdue Dr,,Webster Groves,MO,63119,314-555-5678,,curie,curie
Goodall,Grace,F,3/30/1978,732 Tulane Rd,Apt. 6B,Creve Coeur,MO,63141,314-555-2468,,goodall,goodall
Kepler,Kiki,F,11/5/1992,19 Syracuse Blvd,,St. Peters,MO,63376,636-555-9876,,kepler,kepler
Oppenheimer,Oscar,M,6/12/1970,8733 Stanford St,Suite 303,Belleville,IL,62220,618-555-3141,,oppenheimer,oppenheimer
Sagan,Skylar,F,4/17/1998,997 Rice Way,,San Juan,PR,00909,787-555-9517,,sagan,sagan
