LastName,FirstName,Sex,DateOfBirth,AddressLine1,AddressLine2,City,State,Zip,Phone
Ash,Andrew,M,7/15/1982,587 Pepperdine Ave.,,Marietta ,GA,30006,404-555-0101
Birch,Bella,F,11/29/1995,3241 Baylor Blvd.,Apt. 3B,Decatur ,GA,30030,404-555-0202
Cedar,Chloe,F,4/3/1978,396 Marquette St.,Basement,Alpharetta ,GA,30004,470-555-0303
Dogwood,Dee,F,9/21/1987,725 Gonzaga Way,,Roswell ,GA,30075,678-555-0404
Elm,Emily,F,6/9/2000,8843 DePaul Rd.,,Sandy Springs ,GA,30328,404-555-0505
Forest,Franklin,M,3/12/1992,512 Creighton Ave.,,Lawrenceville ,GA,30042,
Geranium,George,M,10/5/1985,679 Xavier Blvd.,,Duluth ,GA,30095,770-555-0707
Hawthorn,Henry,M,12/18/1973,137 Loyola Dr.,,Norcross ,GA,30003,404-555-0808
Juniper,Jordan,,8/27/1980,86 Fordham Way,Suite 201,Johns Creek ,GA,30005,404-555-0909
Jasper,Jose,M,1/6/2003,943 Belmont Rd.,,Smyrna ,GA,30080,404-555-1010
Kudzu,Kim,F,5/24/1998,268 Butler St.,,Kennesaw ,GA,30144,678-555-1111
Lilac,Liam,M,2/11/1989,507 Villanova Blvd.,,Woodstock ,GA,30188,
Maple,Madison,F,7/30/1976,7731 Providence Ave.,Apartment 202A,Conyers ,GA,30012,404-555-1313
Narcissus,Noah,M,11/2/1983,682 Dayton Way,,Stone Mountain ,GA,30083,470-555-1414
Orchid,Olivia,F,9/9/1990,524 Bradley St.,,Tucker ,GA,30084,
Poplar,Patrick,F,4/17/1971,3559 Saint Louis Rd.,Unit D,Acworth ,GA,30101,404-555-1616
Rose,Rachael,F,10/22/2001,785 Drake Ave.,Apt. 4,Parkville,MD,21234,443-555-1717
Redwood,Rene,F,6/5/1984,912 Canisius Blvd.,,Buford ,GA,30515,678-555-1818
Spruce,Sophia,F,12/8/1979,643 Saint Joseph Way,,Suwanee ,GA,30024,404-555-1919
Tulip,Taylor,,8/13/1997,199 Belmont Dr.,,Collierville,TN,38017,901-555-1515
Thistle,Trey,M,1/28/1974,5468 Seton Hall Blvd.,Condo #504,Loganville ,GA,30052,404-555-2121
Violet,Vera,F,3/19/1981,749 Duquesne Blvd.,,Mission Viejo,CA,92691,714-555-2222
Willow,William,M,5/10/1993,27 Valparaiso Ave.,,Peachtree City ,GA,30269,404-555-2323
Yarrow,Yasmine,F,3/14/1985,341 Santa Clara Blvd.,,Charlotte Amalie,VI,00801,340-555-2424
